var1(t-1),var2(t-1),var3(t-1),var4(t-1),var1(t)
0.26842105,0.072289154,0.054123707,0.7386018,0.2657895
0.2657895,0.08433735,0.079896905,0.73252285,0.2877193
0.2877193,0.08433735,0.074742265,0.77102333,0.30964917
0.30964917,0.08433735,0.069587626,0.8095238,0.33157897
0.33157897,0.08433735,0.064432986,0.84802437,0.25
0.25,0.14457831,0.13917525,0.7051672,0.23421054
0.23421054,0.08433735,0.069587626,0.6808511,0.24473687
0.24473687,0.072289154,0.048969068,0.69908816,0.2763158
0.2763158,0.12048192,0.110824734,0.7507599,0.25526315
0.25526315,0.13253012,0.12628865,0.7173252,0.25394738
0.25394738,0.10843372,0.11469072,0.71428573,0.2526316
0.2526316,0.08433735,0.103092775,0.71124625,0.22894739
0.22894739,0.072289154,0.061855666,0.67173254,0.2657895
0.2657895,0.08433735,0.12886597,0.73252285,0.23947369
0.23947369,0.06024096,0.04123711,0.6869301,0.15789475
0.15789475,0.06024096,0.04123711,0.5805471,0.17368422
0.17368422,0.06024096,0.046391748,0.5987842,0.17982458
0.17982458,0.04819277,0.037800685,0.60587645,0.18596491
0.18596491,0.036144577,0.029209623,0.61296856,0.19210528
0.19210528,0.024096385,0.020618556,0.6200608,0.23947369
0.23947369,0.06024096,0.051546387,0.6869301,0.14210527
0.14210527,0.072289154,0.064432986,0.56231004,0.15526317
0.15526317,0.09638554,0.067010306,0.5775076,0.12368421
0.12368421,0.072289154,0.054123707,0.54103345,0.14605264
0.14605264,0.09638554,0.083762884,0.5668693,0.16842106
0.16842106,0.12048192,0.11340205,0.5927052,0.26842105
0.26842105,0.09638554,0.09536082,0.7386018,0.21842106
0.21842106,0.19277108,0.072164945,0.65349543,0.19736843
0.19736843,0.08433735,0.103092775,0.6261399,0.27105266
0.27105266,0.08433735,0.09536082,0.74164134,0.19473685
0.19473685,0.19277108,0.103092775,0.6231003,0.2131579
0.2131579,0.13855422,0.083762884,0.36930093,0.23157896
0.23157896,0.08433735,0.064432986,0.674772,0.25394738
0.25394738,0.10240963,0.10695876,0.71276593,0.2763158
0.2763158,0.12048192,0.14948453,0.7507599,0.22631581
0.22631581,0.09638554,0.110824734,0.6656535,0.17894737
0.17894737,0.072289154,0.056701027,0.6048632,0.1763158
0.1763158,0.06024096,0.046391748,0.6018237,0.19342107
0.19342107,0.08433735,0.09020618,0.6215806,0.21052633
0.21052633,0.10843372,0.13402061,0.6413374,0.22105263
0.22105263,0.08433735,0.077319585,0.65653497,0.18947369
0.18947369,0.06024096,0.048969068,0.6170213,0.12105264
0.12105264,0.072289154,0.054123707,0.5379939,0.15263158
0.15263158,0.09638554,0.108247414,0.57446814,0.2131579
0.2131579,0.06024096,0.054123707,0.6443769,0.24473687
0.24473687,0.090361446,0.073453605,0.39665654,0.2763158
0.2763158,0.12048192,0.0927835,0.7507599,0.15526317
0.15526317,0.072289154,0.061855666,0.5775076,0.1263158
0.1263158,0.09638554,0.09536082,0.544073,0.20263158
0.20263158,0.08433735,0.067010306,0.63221884,0.23157896
0.23157896,0.08433735,0.059278347,0.674772,0.2131579
0.2131579,0.072289154,0.064432986,0.6443769,0.14736843
0.14736843,0.06024096,0.055412367,0.56838906,0.081578955
0.081578955,0.04819277,0.046391748,0.49240124,0.06842106
0.06842106,0.024096385,0.023195876,0.47720367,0.20789476
0.20789476,0.08433735,0.067010306,0.6382979,0.16578948
0.16578948,0.09638554,0.097938135,0.58966565,0.20526318
0.20526318,0.072289154,0.056701027,0.6352584,0.1763158
0.1763158,0.06024096,0.048969068,0.6018237,0.21052633
0.21052633,0.08433735,0.09020618,0.3920973,0.24473687
0.24473687,0.10843372,0.13144329,0.69908816,0.22631581
0.22631581,0.09638554,0.087628864,0.6656535,0.15
0.15,0.072289154,0.056701027,0.5714286,0.25789475
0.25789475,0.09638554,0.105670094,0.72036475,0.28157896
0.28157896,0.13253012,0.103092775,0.7598784,0.19736843
0.19736843,0.08433735,0.087628864,0.6261399,0.20877196
0.20877196,0.08433735,0.08591065,0.42147923,0.22017543
0.22017543,0.08433735,0.08419244,0.4701115,0.23157896
0.23157896,0.08433735,0.082474224,0.674772,0.22894739
0.22894739,0.072289154,0.051546387,0.66869307,0.19210528
0.19210528,0.08433735,0.059278347,0.6200608,0.15
0.15,0.12048192,0.0927835,0.5714286,0.15263158
0.15263158,0.10843372,0.074742265,0.57446814,0.13947369
0.13947369,0.090361446,0.067010306,0.5592705,0.1263158
0.1263158,0.072289154,0.059278347,0.544073,0.2763158
0.2763158,0.13253012,0.09536082,0.75379944,0.14736843
0.14736843,0.036144577,0.03608247,0.56838906,0.094736844
0.094736844,0.04819277,0.046391748,0.5075988,0.0631579
0.0631579,0.036144577,0.046391748,0.47112465,0.24210526
0.24210526,0.10843372,0.11340205,0.69300914,0.23026316
0.23026316,0.09638554,0.086340204,0.67173254,0.21842106
0.21842106,0.08433735,0.059278347,0.65045595,0.20263158
0.20263158,0.10843372,0.0927835,0.63221884,0.19210528
0.19210528,0.06024096,0.074742265,0.6200608,0.22763158
0.22763158,0.08433735,0.08891752,0.3981763,0.2631579
0.2631579,0.10843372,0.103092775,0.7294833,0.41578948
0.41578948,0.09638554,0.09020618,0.99392104,0.3618421
0.3618421,0.10240963,0.082474224,0.8996961,0.30789477
0.30789477,0.10843372,0.074742265,0.8054712,0.3
0.3,0.12048192,0.12371133,0.7933131,0.23421054
