,date,so2,no2,RSPM,AQI
365,2010-07-27,6.0,16.0,46.0,46.0
366,2010-07-28,6.0,19.0,42.0,42.0
367,2010-07-29,6.0,17.0,35.0,35.0
368,2010-07-30,6.0,19.5,41.0,41.0
369,2010-07-31,6.0,22.0,47.0,47.0
370,2010-08-01,5.5,18.5,40.5,40.5
371,2010-08-02,5.0,15.0,34.0,34.0
372,2010-08-03,6.0,18.0,39.0,39.0
373,2010-08-04,6.0,20.0,58.0,58.0
374,2010-08-05,6.0,19.0,31.0,31.0
375,2010-08-06,5.5,17.75,30.5,30.5
376,2010-08-07,5.0,16.5,30.0,30.0
377,2010-08-08,4.5,15.25,29.5,29.5
378,2010-08-09,4.0,14.0,29.0,29.0
379,2010-08-10,5.0,16.5,46.5,46.5
380,2010-08-11,6.0,19.0,64.0,64.0
381,2010-08-12,7.0,22.0,45.0,45.0
382,2010-08-13,6.0,20.0,63.0,63.0
383,2010-08-14,10.0,35.0,86.0,86.0
384,2010-08-15,9.5,31.0,74.5,74.5
385,2010-08-16,9.0,27.0,63.0,63.0
386,2010-08-17,6.0,21.0,39.0,39.0
387,2010-08-18,6.0,25.0,40.0,40.0
388,2010-08-19,6.0,29.0,41.0,41.0
389,2010-08-20,6.5,26.5,39.0,39.0
390,2010-08-21,7.0,24.0,37.0,37.0
391,2010-08-22,7.0,24.0,39.0,39.0
392,2010-08-23,10.0,34.0,63.0,63.0
393,2010-08-24,6.0,19.0,48.0,48.0
394,2010-08-25,9.0,30.0,71.0,71.0
395,2010-08-26,6.0,19.0,59.0,59.0
396,2010-08-27,5.0,16.0,61.0,61.0
397,2010-08-28,7.0,25.0,66.0,66.0
398,2010-08-29,6.666666666666667,22.666666666666668,61.0,61.0
399,2010-08-30,6.333333333333333,20.333333333333332,56.0,56.0
400,2010-08-31,6.0,18.0,51.0,51.0
401,2010-09-01,9.0,30.0,78.0,78.0
402,2010-09-02,8.0,27.0,67.0,67.0
403,2010-09-03,7.0,30.0,64.0,64.0
404,2010-09-04,6.0,20.0,60.0,60.0
405,2010-09-05,6.0,20.5,58.0,58.0
406,2010-09-06,6.0,21.0,56.0,56.0
407,2010-09-07,6.0,20.5,49.0,49.0
408,2010-09-08,6.0,20.0,42.0,42.0
409,2010-09-09,6.0,19.5,35.0,35.0
410,2010-09-10,6.0,19.0,28.0,28.0
411,2010-09-11,7.0,23.0,54.0,54.0
412,2010-09-12,6.5,27.0,55.5,55.5
413,2010-09-13,6.0,31.0,57.0,57.0
414,2010-09-14,9.0,27.0,78.0,78.0
415,2010-09-15,8.0,24.666666666666668,68.33333333333333,68.33333333333333
416,2010-09-16,7.0,22.333333333333332,58.66666666666667,58.66666666666667
417,2010-09-17,6.0,20.0,49.0,49.0
418,2010-09-18,14.0,13.0,85.0,85.0
419,2010-09-19,16.0,12.0,92.0,92.0
420,2010-09-20,9.0,29.0,62.0,62.0
421,2010-09-21,11.0,38.0,-119.0,113.0
422,2010-09-22,10.0,35.0,-115.0,110.0
423,2010-09-23,10.0,33.0,-111.0,107.5
424,2010-09-24,10.0,31.0,-107.0,105.0
425,2010-09-25,9.0,32.0,57.0,57.0
426,2010-09-26,8.0,29.5,58.5,58.5
427,2010-09-27,7.0,27.0,60.0,60.0
428,2010-09-28,6.0,21.0,52.0,52.0
429,2010-09-29,7.0,23.0,63.0,63.0
430,2010-09-30,6.0,21.0,48.0,48.0
431,2010-10-01,6.0,22.0,35.0,35.0
432,2010-10-02,7.0,23.0,47.0,47.0
433,2010-10-03,6.0,18.5,39.5,39.5
434,2010-10-04,5.0,14.0,32.0,32.0
435,2010-10-05,6.0,18.0,42.0,42.0
436,2010-10-06,6.0,18.0,36.0,36.0
437,2010-10-07,6.0,16.0,37.0,37.0
438,2010-10-08,7.0,26.0,26.0,33.0
439,2010-10-09,7.0,26.0,41.0,41.0
440,2010-10-10,6.5,22.0,38.0,38.0
441,2010-10-11,6.0,18.0,35.0,35.0
442,2010-10-12,7.0,26.0,42.0,42.0
443,2010-10-13,6.0,19.0,40.0,40.0
444,2010-10-14,6.0,21.0,37.0,37.0
445,2010-10-15,6.0,21.0,48.0,48.0
446,2010-10-16,6.0,22.0,32.0,32.0
447,2010-10-17,7.0,24.5,36.0,36.0
448,2010-10-18,8.0,27.0,40.0,40.0
449,2010-10-19,7.0,27.0,33.0,34.0
450,2010-10-20,7.0,26.0,25.0,32.5
451,2010-10-21,7.0,25.0,17.0,31.0
452,2010-10-22,6.0,18.0,32.0,32.0
453,2010-10-23,6.0,19.0,42.0,42.0
454,2010-10-24,6.5,20.0,47.0,47.0
455,2010-10-25,7.0,21.0,52.0,52.0
456,2010-10-26,7.0,25.0,53.0,53.0
